S1,S2,S3,S4,S5,S6
"[0.5666666666666667, 0.7666666666666667, 0.9333333333333333]","[0.4333333333333333, 0.6333333333333333, 0.8333333333333334]","[0.36666666666666664, 0.5666666666666667, 0.7666666666666667]","[0.3, 0.5, 0.7]","[0.3, 0.5, 0.7]","[0.7666666666666667, 0.9, 1.0]"
"[0.6333333333333333, 0.8333333333333334, 0.9666666666666666]","[0.36666666666666664, 0.5666666666666667, 0.7666666666666667]","[0.4333333333333333, 0.6333333333333333, 0.8333333333333334]","[0.16666666666666669, 0.36666666666666664, 0.5666666666666667]","[0.3, 0.5, 0.7]","[0.7, 0.9, 1.0]"
"[0.3103448275862069, 0.5172413793103449, 0.7241379310344828]","[0.24137931034482762, 0.4482758620689655, 0.6551724137931034]","[0.4482758620689655, 0.6551724137931034, 0.8620689655172415]","[0.1724137931034483, 0.3793103448275862, 0.5862068965517242]","[0.4482758620689655, 0.6551724137931034, 0.8275862068965518]","[0.6551724137931034, 0.8620689655172415, 1.0]"
"[0.6551724137931034, 0.8620689655172415, 1.0]","[0.6551724137931034, 0.8620689655172415, 1.0]","[0.3793103448275862, 0.5862068965517242, 0.7931034482758621]","[0.4482758620689655, 0.6551724137931034, 0.8620689655172415]","[0.3793103448275862, 0.5862068965517242, 0.7931034482758621]","[0.6551724137931034, 0.8620689655172415, 1.0]"
"[0.5666666666666667, 0.7666666666666667, 0.9333333333333333]","[0.5666666666666667, 0.7666666666666667, 0.9333333333333333]","[0.23333333333333334, 0.4333333333333333, 0.6333333333333333]","[0.4333333333333333, 0.6333333333333333, 0.8333333333333334]","[0.5666666666666667, 0.7666666666666667, 0.9333333333333333]","[0.7, 0.9, 1.0]"
"[0.17857142857142858, 0.3928571428571428, 0.6071428571428571]","[0.3214285714285714, 0.5357142857142857, 0.75]","[0.3214285714285714, 0.5357142857142857, 0.75]","[0.6071428571428571, 0.8214285714285714, 1.0]","[0.6071428571428571, 0.8214285714285714, 1.0]","[0.5357142857142857, 0.75, 0.9285714285714285]"
"[0.6071428571428571, 0.8214285714285714, 1.0]","[0.25, 0.46428571428571425, 0.6785714285714285]","[0.3928571428571428, 0.6071428571428571, 0.8214285714285714]","[0.5357142857142857, 0.75, 0.9642857142857142]","[0.46428571428571425, 0.6785714285714285, 0.8928571428571429]","[0.6071428571428571, 0.8214285714285714, 1.0]"
"[0.16666666666666669, 0.36666666666666664, 0.5666666666666667]","[0.3, 0.5, 0.7]","[0.4333333333333333, 0.6333333333333333, 0.8333333333333334]","[0.36666666666666664, 0.5666666666666667, 0.7666666666666667]","[0.4333333333333333, 0.6333333333333333, 0.8333333333333334]","[0.7, 0.9, 1.0]"
"[0.24137931034482762, 0.4482758620689655, 0.6551724137931034]","[0.1724137931034483, 0.3793103448275862, 0.5862068965517242]","[0.3103448275862069, 0.5172413793103449, 0.7241379310344828]","[0.24137931034482762, 0.4482758620689655, 0.6551724137931034]","[0.3103448275862069, 0.5172413793103449, 0.7241379310344828]","[0.6551724137931034, 0.8620689655172415, 1.0]"
"[0.6551724137931034, 0.8620689655172415, 1.0]","[0.3793103448275862, 0.5862068965517242, 0.7931034482758621]","[0.3793103448275862, 0.5862068965517242, 0.7931034482758621]","[0.24137931034482762, 0.4482758620689655, 0.6551724137931034]","[0.3103448275862069, 0.5172413793103449, 0.7241379310344828]","[0.5862068965517242, 0.7931034482758621, 0.9310344827586208]"
"[0.4333333333333333, 0.6333333333333333, 0.8333333333333334]","[0.5, 0.7, 0.8666666666666666]","[0.36666666666666664, 0.5666666666666667, 0.7666666666666667]","[0.3, 0.5, 0.7]","[0.36666666666666664, 0.5666666666666667, 0.7666666666666667]","[0.7666666666666667, 0.9, 1.0]"
"[0.25, 0.46428571428571425, 0.6785714285714285]","[0.25, 0.46428571428571425, 0.6785714285714285]","[0.5357142857142857, 0.75, 0.9285714285714285]","[0.3214285714285714, 0.5357142857142857, 0.75]","[0.46428571428571425, 0.6785714285714285, 0.8928571428571429]","[0.6071428571428571, 0.8214285714285714, 1.0]"
"[0.2592592592592593, 0.48148148148148145, 0.7037037037037037]","[0.4074074074074074, 0.6296296296296297, 0.8518518518518519]","[0.48148148148148145, 0.7037037037037037, 0.925925925925926]","[0.2592592592592593, 0.48148148148148145, 0.7037037037037037]","[0.4074074074074074, 0.6296296296296297, 0.8518518518518519]","[0.5555555555555556, 0.7777777777777778, 1.0]"
"[0.24137931034482762, 0.4482758620689655, 0.6551724137931034]","[0.1724137931034483, 0.3793103448275862, 0.5862068965517242]","[0.3793103448275862, 0.5862068965517242, 0.7931034482758621]","[0.4482758620689655, 0.6551724137931034, 0.8620689655172415]","[0.3103448275862069, 0.5172413793103449, 0.7241379310344828]","[0.6551724137931034, 0.8620689655172415, 1.0]"
"[0.25, 0.46428571428571425, 0.6785714285714285]","[0.25, 0.46428571428571425, 0.6785714285714285]","[0.46428571428571425, 0.6785714285714285, 0.8928571428571429]","[0.17857142857142858, 0.3928571428571428, 0.6071428571428571]","[0.3928571428571428, 0.6071428571428571, 0.8214285714285714]","[0.6071428571428571, 0.8214285714285714, 1.0]"
"[0.4074074074074074, 0.6296296296296297, 0.8518518518518519]","[0.4074074074074074, 0.6296296296296297, 0.8518518518518519]","[0.5555555555555556, 0.7777777777777778, 0.9629629629629629]","[0.48148148148148145, 0.7037037037037037, 0.925925925925926]","[0.5555555555555556, 0.7777777777777778, 1.0]","[0.6296296296296297, 0.8518518518518519, 1.0]"
"[0.3928571428571428, 0.6071428571428571, 0.8214285714285714]","[0.3214285714285714, 0.5357142857142857, 0.75]","[0.5357142857142857, 0.75, 0.9285714285714285]","[0.25, 0.46428571428571425, 0.6785714285714285]","[0.3214285714285714, 0.5357142857142857, 0.75]","[0.6071428571428571, 0.8214285714285714, 1.0]"
