S1,S2,S3,S4,S5,S6
"[0.02399266666666667, 0.03246066666666667, 0.039517333333333335]","[0.018347333333333334, 0.026815333333333333, 0.03528333333333334]","[0.015524666666666666, 0.02399266666666667, 0.03246066666666667]","[0.012702, 0.02117, 0.029638]","[0.012702, 0.02117, 0.029638]","[0.03246066666666667, 0.038106, 0.04234]"
"[0.05565733333333333, 0.07323333333333333, 0.08495066666666666]","[0.03222266666666666, 0.049798666666666665, 0.06737466666666667]","[0.03808133333333333, 0.05565733333333333, 0.07323333333333333]","[0.014646666666666669, 0.03222266666666666, 0.049798666666666665]","[0.026364, 0.04394, 0.061515999999999994]","[0.061515999999999994, 0.079092, 0.08788]"
"[0.02254344827586207, 0.03757241379310345, 0.05260137931034482]","[0.017533793103448277, 0.03256275862068966, 0.04759172413793103]","[0.03256275862068966, 0.04759172413793103, 0.06262068965517242]","[0.012524137931034483, 0.02755310344827586, 0.04258206896551724]","[0.03256275862068966, 0.04759172413793103, 0.06011586206896552]","[0.04759172413793103, 0.06262068965517242, 0.07264]"
"[0.0625951724137931, 0.08236206896551726, 0.09554]","[0.0625951724137931, 0.08236206896551726, 0.09554]","[0.03623931034482759, 0.05600620689655173, 0.07577310344827587]","[0.042828275862068964, 0.0625951724137931, 0.08236206896551726]","[0.03623931034482759, 0.05600620689655173, 0.07577310344827587]","[0.0625951724137931, 0.08236206896551726, 0.09554]"
"[0.023771666666666667, 0.03216166666666667, 0.03915333333333333]","[0.023771666666666667, 0.03216166666666667, 0.03915333333333333]","[0.009788333333333333, 0.01817833333333333, 0.026568333333333333]","[0.01817833333333333, 0.026568333333333333, 0.034958333333333334]","[0.023771666666666667, 0.03216166666666667, 0.03915333333333333]","[0.029365, 0.037755000000000004, 0.04195]"
"[0.013860714285714285, 0.030493571428571422, 0.04712642857142856]","[0.02494928571428571, 0.04158214285714285, 0.058214999999999996]","[0.02494928571428571, 0.04158214285714285, 0.058214999999999996]","[0.04712642857142856, 0.06375928571428571, 0.07762]","[0.04712642857142856, 0.06375928571428571, 0.07762]","[0.04158214285714285, 0.058214999999999996, 0.07207571428571427]"
"[0.026799285714285713, 0.03625785714285714, 0.04414]","[0.011035, 0.020493571428571427, 0.029952142857142854]","[0.017340714285714282, 0.026799285714285713, 0.03625785714285714]","[0.02364642857142857, 0.033104999999999996, 0.04256357142857142]","[0.020493571428571427, 0.029952142857142854, 0.039410714285714285]","[0.026799285714285713, 0.03625785714285714, 0.04414]"
"[0.009420000000000001, 0.020724, 0.032028]","[0.016956, 0.02826, 0.039563999999999995]","[0.024491999999999996, 0.035796, 0.0471]","[0.020724, 0.032028, 0.043332]","[0.024491999999999996, 0.035796, 0.0471]","[0.039563999999999995, 0.050868000000000003, 0.05652]"
"[0.007465862068965518, 0.013865172413793102, 0.020264482758620687]","[0.005332758620689655, 0.01173206896551724, 0.01813137931034483]","[0.00959896551724138, 0.015998275862068968, 0.022397586206896553]","[0.007465862068965518, 0.013865172413793102, 0.020264482758620687]","[0.00959896551724138, 0.015998275862068968, 0.022397586206896553]","[0.020264482758620687, 0.02666379310344828, 0.03093]"
"[0.05682965517241379, 0.07477586206896553, 0.08674]","[0.03290137931034483, 0.050847586206896556, 0.06879379310344828]","[0.03290137931034483, 0.050847586206896556, 0.06879379310344828]","[0.02093724137931035, 0.03888344827586207, 0.05682965517241379]","[0.026919310344827585, 0.04486551724137931, 0.06281172413793103]","[0.050847586206896556, 0.06879379310344828, 0.08075793103448277]"
